"THOMASTOWN, BALLYDUFF",,,,,,,,,,,,
Grid ref,IS6115038358,Long,-7.100306,Lat,52.493500,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.91,1.68,7.07,4.61,3.10,5.38,0.83,2.24,1.63,,
February,,1.43,5.73,3.05,5.71,1.12,2.13,2.05,1.28,0.95,,
March,,3.29,2.59,8.37,2.70,5.69,2.04,1.10,4.57,3.62,,
April,,2.71,3.04,1.42,1.42,4.79,1.88,2.85,2.69,5.41,,
May,,2.59,1.90,3.63,3.38,0.97,3.27,4.06,2.34,2.45,,
June,,2.06,3.38,4.66,2.48,1.56,1.59,4.39,1.11,2.25,,
July,,0.95,3.62,4.79,3.90,1.74,1.88,3.15,3.21,2.64,,
August,,3.46,2.68,5.15,3.69,5.55,2.16,2.65,4.58,0.79,,
September,,5.94,4.68,3.85,3.97,1.74,1.20,1.51,6.66,3.12,,
October,,3.46,2.75,6.97,1.53,0.98,6.37,6.82,3.30,6.94,,
November,,2.09,9.48,1.80,1.97,3.17,1.80,4.42,3.15,1.13,,
December,,3.57,2.98,6.68,2.06,2.96,2.85,4.47,5.99,3.91,,
Total,,36.46,44.51,57.44,37.42,33.37,32.55,38.30,41.12,34.84,,
Calc annual,0.00,36.46,44.51,57.44,37.42,33.37,32.55,38.30,41.12,34.84,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
