"TAUNTON LEIGH COURT",,,,,,,,,,,,
Grid ref,ST199187,Long,-3.141947,Lat,50.962134,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.67,4.29,4.60,1.06,5.92,1.33,0.93,1.42,,
February,,,2.05,2.11,6.93,0.86,3.23,1.46,2.18,0.45,,
March,,,1.79,4.62,2.66,5.52,1.47,0.72,3.09,4.97,,
April,,,2.06,2.19,1.27,2.69,1.52,5.55,2.00,2.68,,
May,,1.10,2.40,4.17,2.36,0.33,2.93,2.45,1.85,1.31,,
June,,2.68,3.03,3.30,0.96,3.58,2.61,1.84,0.41,3.71,,
July,,4.25,2.22,2.63,3.34,0.39,0.62,1.60,2.08,1.86,,
August,,2.11,3.47,4.07,3.08,5.26,1.51,1.56,3.16,2.12,,
September,,2.46,2.75,4.02,1.61,1.66,0.61,0.48,2.73,2.38,,
October,,2.34,2.59,7.21,1.50,2.04,5.00,8.01,3.13,6.03,,
November,,1.09,5.21,2.01,1.96,3.62,3.21,3.09,1.39,1.50,,
December,,6.76,3.11,5.14,2.86,0.84,1.67,6.16,3.19,5.21,,
Total,,,32.35,45.76,33.13,27.85,30.30,34.25,26.14,33.64,,
Calc annual,0.00,22.79,32.35,45.76,33.13,27.85,30.30,34.25,26.14,33.64,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
