"NOTTINGHAM STRELLEY",,,,,,,,,,,,
Grid ref,SK508424,Long,-1.244912,Lat,52.976551,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.85,1.14,1.13,1.95,2.45,0.84,3.20,1.03,1.09,1.05,,
February,3.42,1.08,1.92,1.07,2.43,0.68,2.86,1.36,1.74,0.77,,
March,0.82,1.83,1.49,3.30,1.60,2.33,1.37,1.29,2.67,3.50,,
April,1.01,1.28,1.93,1.87,1.19,1.53,0.46,2.55,2.26,1.54,,
May,1.34,0.84,2.46,3.16,1.41,0.38,2.13,3.53,2.03,1.10,,
June,3.45,1.69,1.79,1.71,0.38,2.96,1.72,3.11,1.61,2.29,,
July,1.83,4.13,1.34,1.99,1.95,1.11,0.65,2.50,3.06,3.86,,
August,5.22,1.24,3.72,5.23,2.82,3.12,1.30,2.18,3.93,3.05,,
September,0.80,1.30,1.31,3.08,1.76,1.59,1.01,0.81,1.76,3.01,,
October,1.93,1.61,2.53,6.34,0.46,1.42,5.70,4.25,1.25,3.52,,
November,2.72,2.13,1.69,1.99,1.24,2.72,2.68,2.18,1.35,0.65,,
December,4.10,5.40,1.78,1.12,1.70,0.65,2.44,2.87,1.76,4.65,,
Total,30.49,23.67,23.09,32.81,19.39,19.33,25.52,27.66,24.51,28.99,,
Calc annual,30.49,23.67,23.09,32.81,19.39,19.33,25.52,27.66,24.51,28.99,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
