"NINFIELD HAZARDS GREEN PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ6816212299,Long,0.389340,Lat,50.885708,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,0.26,,
March,,,,,,,,,,3.38,,
April,,,,,,,,,,1.60,,
May,,,,,,,,,,1.02,,
June,,,,,,,,,,1.54,,
July,,,,,,,,,,1.92,,
August,,,,,,,,,,2.26,,
September,,,,,,,,,,2.55,,
October,,,,,,,,,,6.61,,
November,,,,,,,,,,1.14,,
December,,,,,,,,,,4.68,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.96,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
