"CARRICKFERGUS COPELAND",,,,,,,,,,,,
Grid ref,IJ4345789181,Long,-5.773548,Lat,54.730303,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.52,2.91,2.21,4.73,3.00,1.24,6.40,1.84,3.44,1.50,,
February,3.76,1.56,2.25,2.27,3.43,1.28,1.86,1.64,1.53,2.50,,
March,0.80,2.73,2.20,4.38,2.27,3.14,2.06,3.63,3.81,3.80,,
April,3.62,2.81,2.47,1.38,2.00,2.79,1.90,1.66,2.95,3.74,,
May,3.98,2.25,4.38,3.34,3.08,2.01,4.85,4.22,1.96,1.74,,
June,4.72,4.40,2.06,2.33,1.49,2.20,1.19,4.60,3.57,2.80,,
July,3.95,1.31,2.50,4.99,3.36,1.94,2.85,2.18,4.27,2.91,,
August,6.50,4.13,3.19,4.43,5.15,7.36,4.00,2.89,3.15,2.19,,
September,3.31,3.70,4.92,3.41,3.80,1.58,1.08,1.12,5.29,2.33,,
October,5.10,5.04,2.02,6.05,1.29,1.90,4.75,4.42,2.87,5.75,,
November,5.59,3.76,4.74,2.48,3.26,5.17,2.64,3.52,3.93,0.91,,
December,3.53,3.53,2.47,3.49,2.07,2.54,2.63,2.96,4.00,3.35,,
Total,49.38,38.13,35.41,43.28,34.20,33.15,36.21,34.68,40.77,33.52,,
Calc annual,49.38,38.13,35.41,43.28,34.20,33.15,36.21,34.68,40.77,33.52,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
