"DONNYBROOK, BELMONT AVENUE",,,,,,,,,,,,
Grid ref,IO1710031400,Long,-6.243271,Lat,53.320137,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.07,1.11,,
February,,,,,,,,,1.28,0.47,,
March,,,,,,,,,3.36,2.70,,
April,,,,,,,,,2.27,3.71,,
May,,,,,,,,,1.11,1.09,,
June,,,,,,,,,1.45,2.18,,
July,,,,,,,,,2.24,2.88,,
August,,,,,,,,,3.51,1.42,,
September,,,,,,,,,2.24,1.76,,
October,,,,,,,,,1.34,2.51,,
November,,,,,,,,,1.22,1.32,,
December,,,,,,,,,2.01,4.96,,
Total,,,,,,,,,24.10,26.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.10,26.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
