"BOAR HILL KENLY GREEN",,,,,,,,,,,,
Grid ref,NO568137,Long,-2.699913,Lat,56.313726,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.28,2.42,,,,,
February,,,,,,0.66,0.58,,,,,
March,,,,,,2.41,0.86,,,,,
April,,,,,,1.38,0.76,,,,,
May,,,,,,1.08,5.44,,,,,
June,,,,,,0.55,1.01,,,,,
July,,,,,,1.60,1.35,,,,,
August,,,,,,3.09,5.03,,,,,
September,,,,,,1.51,0.72,,,,,
October,,,,,,1.50,5.11,,,,,
November,,,,,,4.13,2.65,,,,,
December,,,,,,0.93,1.62,,,,,
Total,,,,,,19.12,27.55,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.12,27.55,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
