"STANHOPE PARSON BYERS QUARRY",,,,,,,,,,,,
Grid ref,NY999375,Long,-2.003074,Lat,54.732480,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.48,0.41,3.34,0.88,1.92,2.26,,
February,,,,,2.16,0.90,1.41,1.72,1.74,1.52,,
March,,,,,2.53,2.56,1.12,1.28,5.55,5.99,,
April,,,,1.35,1.62,3.70,0.80,1.58,3.17,2.05,,
May,,,,2.96,2.89,0.41,3.55,3.84,2.35,1.36,,
June,,,,1.51,1.73,1.03,0.81,3.06,0.62,2.91,,
July,,,,4.19,1.46,0.47,1.23,1.60,1.99,2.35,,
August,,,,2.70,2.65,3.95,2.64,1.53,2.33,2.96,,
September,,,,3.30,0.78,2.62,0.45,0.30,2.63,1.98,,
October,,,,9.94,0.68,1.83,5.42,6.38,3.02,3.30,,
November,,,,1.33,2.40,6.22,3.14,2.26,1.62,0.70,,
December,,,,2.58,1.86,0.64,2.21,4.38,1.18,3.15,,
Total,,,,,24.24,24.74,26.12,28.81,28.12,30.53,,
Calc annual,0.00,0.00,0.00,29.86,24.24,24.74,26.12,28.81,28.12,30.53,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
