"BANSTEAD BURGH HEATH RESERVOIR",,,,,,,,,,,,
Grid ref,TQ237580,Long,-0.226741,Lat,51.307683,,,,,,,
Station no,87,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.39,0.77,2.60,5.20,1.32,4.95,1.07,1.85,1.46,,
February,,1.56,1.21,2.35,3.79,1.08,2.41,1.78,1.10,0.83,,
March,,2.67,1.65,3.30,2.40,4.36,1.28,0.91,3.23,4.45,,
April,,2.26,0.80,2.10,1.92,2.04,0.46,3.90,3.13,2.09,,
May,,0.83,1.90,3.45,2.47,1.15,1.41,1.94,2.28,1.76,,
June,,1.36,4.82,7.00,0.97,5.14,2.57,,2.17,3.65,,
July,,1.81,1.10,5.80,1.38,1.56,0.50,,3.65,4.30,,
August,,1.87,3.10,5.90,1.87,3.26,0.67,2.37,3.60,2.50,,
September,,1.72,0.65,3.20,1.51,2.34,1.75,0.60,1.66,3.72,,
October,,2.93,1.90,7.11,2.63,1.74,4.31,4.98,2.61,5.30,,
November,,0.65,2.40,3.15,1.94,4.68,4.96,2.80,0.92,1.33,,
December,,4.67,2.16,2.60,2.99,0.84,1.58,3.80,2.74,3.88,,
Total,,23.72,22.46,48.56,29.07,29.51,26.85,,28.94,35.27,,
Calc annual,0.00,23.72,22.46,48.56,29.07,29.51,26.85,24.15,28.94,35.27,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
