"OCHTERTYRE (STIRLING)",,,,,,,,,,,,
Grid ref,NS751979,Long,-4.012497,Lat,56.157364,,,,,,,
Station no,5509,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.46,2.56,3.62,7.16,4.17,1.68,5.39,2.31,4.21,4.59,,
February,3.74,0.93,1.54,8.25,3.21,2.01,2.69,2.61,2.50,1.93,,
March,0.97,2.26,1.90,8.55,1.94,4.10,3.38,3.60,4.23,2.49,,
April,2.50,3.36,1.31,1.12,4.91,1.93,1.22,2.00,1.20,3.90,,
May,2.92,1.74,1.95,1.72,3.53,1.86,4.52,4.08,2.25,3.59,,
June,3.98,3.05,2.32,2.32,2.16,0.98,1.73,4.22,2.13,1.35,,
July,3.18,3.07,2.26,5.49,2.23,1.05,2.03,3.10,3.17,2.30,,
August,3.48,3.78,3.53,4.43,4.44,4.68,3.16,4.68,4.09,3.83,,
September,2.96,2.16,2.93,4.21,3.21,1.85,2.53,1.31,4.00,1.76,,
October,5.28,3.30,2.94,9.50,1.47,3.01,5.39,5.55,1.50,6.65,,
November,5.91,2.80,3.87,1.48,1.45,4.41,3.75,4.73,3.20,1.48,,
December,6.90,4.02,4.51,3.34,4.07,3.59,3.12,5.05,2.20,4.26,,
Total,48.28,33.03,32.68,57.57,36.79,31.15,38.92,43.24,34.68,38.13,,
Calc annual,48.28,33.03,32.68,57.57,36.79,31.15,38.91,43.24,34.68,38.13,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.01,0.00,0.00,0.00,,
