"NEWCASTLE KILLADREENAN CONSUMPTION HOSP",,,,,,,,,,,,
Grid ref,IO2760204957,Long,-6.096306,Lat,53.080222,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.81,2.66,1.66,4.32,3.31,1.33,4.59,0.51,1.98,1.08,,
February,5.93,1.30,2.92,3.10,4.41,0.85,2.21,1.61,1.45,0.71,,
March,0.89,1.80,1.42,6.19,2.60,4.21,1.79,1.42,3.81,4.79,,
April,1.30,1.83,3.02,1.18,1.27,2.34,1.67,2.64,2.86,4.05,,
May,2.83,0.80,2.38,2.76,2.91,0.89,3.28,4.84,1.73,1.15,,
June,2.15,2.27,3.07,2.00,2.49,2.05,0.86,3.70,1.76,3.56,,
July,3.25,2.05,3.80,4.31,2.26,1.99,1.01,2.21,2.34,2.38,,
August,3.99,3.02,4.08,3.17,2.62,8.64,1.57,2.56,3.52,0.97,,
September,0.90,5.10,3.81,4.34,3.82,1.13,0.67,0.94,3.93,1.46,,
October,3.55,3.98,3.58,4.15,0.87,0.71,5.76,6.30,3.60,5.95,,
November,5.72,3.80,5.55,2.57,1.34,6.08,1.65,2.82,2.10,1.91,,
December,2.93,3.78,2.50,3.73,2.25,2.13,2.22,3.63,3.66,5.80,,
Total,37.25,32.39,37.79,41.82,30.15,32.35,27.28,33.18,32.74,33.81,,
Calc annual,37.25,32.39,37.79,41.82,30.15,32.35,27.28,33.18,32.74,33.81,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
