"BOURNEMOUTH BODORGAN HOUSE",,,,,,,,,,,,
Grid ref,SZ086916,Long,-1.879529,Lat,50.723961,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.99,0.64,1.75,,
February,,,,,,,,1.25,0.92,0.39,,
March,,,,,,,,0.45,3.37,3.93,,
April,,,,,,,,3.56,1.56,1.27,,
May,,,,,,,,1.77,1.84,1.90,,
June,,,,,,,,2.06,1.53,4.75,,
July,,,,,,,,1.20,1.57,0.96,,
August,,,,,,,,1.52,1.83,3.82,,
September,,,,,,,,1.08,3.09,2.06,,
October,,,,,,,,10.26,1.22,8.51,,
November,,,,,,,,2.34,1.81,0.71,,
December,,,,,,,,4.78,3.62,4.58,,
Total,,,,,,,,31.26,23.00,34.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.26,23.00,34.63,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
