"STRATFORD-ON-AVON GUILD STREET",,,,,,,,,,,,
Grid ref,SP203509,Long,-1.704692,Lat,52.156009,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.96,0.91,0.54,2.09,1.80,0.79,3.63,1.07,,,,
February,4.74,1.19,1.14,1.43,4.07,0.48,1.01,,,,,
March,0.80,1.68,1.32,3.07,1.29,2.84,0.92,,,,,
April,1.16,2.49,2.17,1.83,0.91,1.96,0.42,,,,,
May,1.88,1.07,2.97,3.24,2.64,0.15,1.99,,,,,
June,2.58,1.77,2.28,2.85,0.35,3.50,4.09,,,,,
July,1.41,3.74,1.13,2.47,2.60,0.66,1.34,,,,,
August,3.56,2.45,4.28,3.37,2.44,4.68,1.27,,,,,
September,0.48,1.37,1.27,1.88,2.25,0.90,1.17,,,,,
October,2.60,1.52,2.34,5.78,0.42,1.29,3.81,,,,,
November,2.20,0.73,1.70,1.98,1.07,2.11,2.78,,,,,
December,5.89,3.60,1.53,0.82,1.50,0.92,1.74,,,,,
Total,30.26,22.52,22.67,30.81,21.34,20.28,24.17,,,,,
Calc annual,30.26,22.52,22.67,30.81,21.34,20.28,24.17,1.07,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
