"DUKINFIELD HIGHER RESERVOIR",,,,,,,,,,,,
Grid ref,SJ956972,Long,-2.067754,Lat,53.471515,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.46,1.64,,
February,,,,,,,,,2.54,1.84,,
March,,,,,,,,,2.13,2.58,,
April,,,,,,,,,3.28,2.93,,
May,,,,,,,,,2.04,1.84,,
June,,,,,,,,,1.88,2.38,,
July,,,,,,,,,4.34,5.70,,
August,,,,,,,,,2.54,3.17,,
September,,,,,,,,,3.67,2.62,,
October,,,,,,,,,1.01,5.39,,
November,,,,,,,,,2.39,1.28,,
December,,,,,,,,,2.42,5.65,,
Total,,21.98,24.54,35.20,27.63,,30.85,,30.70,37.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.70,37.02,,
Difference,NaN,21.98,24.54,35.20,27.63,NaN,30.85,NaN,0.00,0.00,,
