"EASTBOURNE CEMETERY",,,,,,,,,,,,
Grid ref,TV5976899999,Long,0.264751,Lat,50.777568,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.70,0.58,1.17,3.27,3.90,0.99,4.90,0.73,1.08,0.86,,
February,5.96,1.91,1.79,1.74,3.47,0.71,2.87,1.22,1.15,0.43,,
March,1.65,1.52,1.55,1.64,1.01,3.78,1.54,1.00,2.48,3.62,,
April,1.49,1.95,0.81,2.40,1.12,1.42,1.51,3.30,2.00,1.74,,
May,0.65,0.73,2.11,1.36,2.88,1.27,2.02,1.73,1.03,1.11,,
June,2.67,1.19,2.76,2.79,0.98,3.35,1.39,1.41,1.63,1.92,,
July,1.63,0.74,0.91,3.38,0.88,0.71,0.57,0.97,2.29,2.15,,
August,2.17,1.59,3.72,2.92,1.83,3.03,1.38,0.72,2.71,2.98,,
September,0.89,0.89,0.81,2.07,1.29,2.66,1.49,0.55,1.78,3.54,,
October,2.90,2.76,2.41,5.70,2.41,1.71,4.18,5.92,1.75,6.53,,
November,3.90,0.53,2.48,2.03,1.48,5.22,6.58,3.19,1.13,1.03,,
December,4.52,4.49,1.73,1.93,3.53,1.12,2.45,2.90,3.13,4.73,,
Total,32.13,18.88,22.25,31.23,24.78,25.97,30.88,23.64,22.16,30.64,,
Calc annual,32.13,18.88,22.25,31.23,24.78,25.97,30.88,23.64,22.16,30.64,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
