"BURNHAM, CHARLBURY, DUNSTAN HOUSE",,,,,,,,,,,,
Grid ref,ST305493,Long,-2.996937,Lat,51.238629,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.13,1.54,1.46,,
February,,,,,,,,1.08,1.50,0.26,,
March,,,,,,,,0.58,2.59,2.31,,
April,,,,,,,,4.14,2.39,2.53,,
May,,,,,,,,2.11,1.55,1.81,,
June,,,,,,,,2.15,0.34,2.55,,
July,,,,,,,,2.56,2.50,2.05,,
August,,,,,,,,2.90,3.87,1.98,,
September,,,,,,,,0.61,2.19,2.92,,
October,,,,,,,,4.40,1.86,4.58,,
November,,,,,,,,2.99,1.05,0.97,,
December,,,,,,,,4.84,2.43,3.86,,
Total,,,,,,,,29.49,23.81,27.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,23.81,27.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
