"MOIDART, ROSHVEN",,,,,,,,,,,,
Grid ref,NM706787,Long,-5.763031,Lat,56.842932,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,9.51,,
February,,,,,,,,,,5.24,,
March,,,,,,,,,,1.17,,
April,,,,,,,,,,4.72,,
May,,,,,,,,,,5.64,,
June,,,,,,,,,,1.55,,
July,,,,,,,,,,7.11,,
August,,,,,,,,,,6.70,,
September,,,,,,,,,,3.91,,
October,,,,,,,,,,11.10,,
November,,,,,,,,,,6.15,,
December,,,,,,,,,,8.12,,
Total,,,,,,,,,,70.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
