"PORTADOWN WESTSHEET",,,,,,,,,,,,
Grid ref,IJ0025553591,Long,-6.456067,Lat,54.421123,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.28,2.84,,,,,,,
February,,,,2.03,2.78,,,,,,,
March,,,,4.00,1.54,,,,,,,
April,,,,1.08,1.60,,,,,,,
May,,,,3.18,2.17,,,,,,,
June,,,,1.26,1.08,,,,,,,
July,,,,5.17,1.98,,,,,,,
August,,,,4.25,4.38,,,,,,,
September,,,,3.52,3.40,,,,,,,
October,,,,4.41,0.41,,,,,,,
November,,,,2.21,2.13,,,,,,,
December,,,,4.80,1.52,,,,,,,
Total,,,,40.19,25.83,,,,,,,
Calc annual,0.00,0.00,0.00,40.19,25.83,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
