"MANCHESTER MOSTON",,,,,,,,,,,,
Grid ref,SD883019,Long,-2.177905,Lat,53.513647,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.54,2.96,2.76,2.31,4.49,1.50,,,,
February,,,0.95,3.43,3.50,1.86,3.32,1.74,,,,
March,,,1.58,3.57,1.97,3.85,3.04,2.92,,,,
April,,,1.82,1.79,2.38,2.95,1.98,1.52,,,,
May,,,2.59,3.47,2.47,0.61,3.32,4.13,,,,
June,,,1.54,1.62,0.68,2.54,1.25,6.66,,,,
July,,,2.51,3.71,1.13,2.26,1.63,3.58,,,,
August,,,3.21,3.73,4.57,4.94,3.34,4.09,,,,
September,,0.88,1.53,5.05,1.58,2.54,1.54,0.87,,,,
October,,3.07,4.53,7.64,1.87,3.35,5.48,,,,,
November,,4.33,2.18,3.67,3.05,3.63,2.94,,,,,
December,,5.37,2.46,1.12,2.76,0.67,4.14,,,,,
Total,,,27.44,41.76,28.72,31.51,36.47,,,,,
Calc annual,0.00,13.65,27.44,41.76,28.72,31.51,36.47,27.01,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
