"ABERFORD LOTHERTON HALL",,,,,,,,,,,,
Grid ref,SE448360,Long,-1.321004,Lat,53.818356,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.72,0.67,,0.59,,
February,,,,,,,1.15,0.59,,0.76,,
March,,,,,,,1.15,0.56,,2.79,,
April,,,,,,,0.88,0.65,,2.62,,
May,,,,,,,1.89,2.10,,1.62,,
June,,,,,,,1.95,2.19,,3.68,,
July,,,,,,,1.73,2.02,,2.52,,
August,,,,,,,1.70,1.67,,2.54,,
September,,,,,,,0.59,0.55,,1.16,,
October,,,,,,,3.90,5.12,,2.07,,
November,,,,,,,3.81,2.67,,0.25,,
December,,,,,,,1.99,1.95,,4.24,,
Total,,,,,,,23.46,20.74,,24.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.46,20.74,0.00,24.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,-0.00,,
