"DUMFRIES DALAWOODIE HOUSE",,,,,,,,,,,,
Grid ref,NX952793,Long,-3.643837,Lat,55.097012,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.89,2.57,6.18,,,,,,,,
February,,0.94,2.72,5.65,,,,,,,,
March,,2.17,2.61,7.67,,,,,,,,
April,,3.28,2.31,1.58,,,,,,,,
May,,2.32,2.44,,,,,,,,,
June,,3.69,2.00,,,,,,,,,
July,,1.77,3.20,,,,,,,,,
August,,4.63,3.34,,,,,,,,,
September,,3.54,2.36,,,,,,,,,
October,5.50,5.61,2.85,,,,,,,,,
November,3.57,3.22,3.96,,,,,,,,,
December,6.35,5.15,4.60,,,,,,,,,
Total,,39.21,34.96,,,,,,,,,
Calc annual,15.42,39.21,34.96,21.08,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
