"BOURNEMOUTH, VALE VIEW, NELSON ROAD",,,,,,,,,,,,
Grid ref,SZ068917,Long,-1.905028,Lat,50.724884,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.78,2.32,1.32,2.54,4.82,1.21,7.46,0.92,0.82,0.99,,
February,5.24,2.16,1.75,2.31,4.45,0.88,3.12,1.31,1.25,0.44,,
March,1.18,2.54,2.61,3.74,1.62,5.09,1.32,0.56,3.38,4.34,,
April,1.35,2.72,1.43,2.78,1.27,1.60,1.00,3.49,2.65,1.34,,
May,1.56,0.85,1.81,3.34,2.82,0.83,2.79,1.88,1.58,1.79,,
June,2.38,1.44,3.59,2.40,0.89,2.71,1.33,1.97,0.53,3.58,,
July,0.42,1.87,1.88,3.68,2.44,0.62,1.25,0.95,1.75,1.91,,
August,2.56,2.04,5.03,3.87,3.06,2.75,0.61,1.67,3.03,3.28,,
September,1.16,3.90,1.93,2.52,2.61,1.90,0.81,0.73,2.14,3.13,,
October,2.82,2.98,2.32,8.83,3.03,1.68,6.72,10.75,2.25,7.60,,
November,4.22,0.65,3.59,1.99,1.43,4.75,3.94,2.78,0.92,0.69,,
December,5.88,4.92,1.86,2.96,4.18,0.98,2.16,4.05,4.13,4.49,,
Total,32.55,28.39,29.12,40.96,32.62,25.00,32.51,31.06,24.43,33.58,,
Calc annual,32.55,28.39,29.12,40.96,32.62,25.00,32.51,31.06,24.43,33.58,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
