"BROMSBERROW PUMPING STATION",,,,,,,,,,,,
Grid ref,SO738332,Long,-2.383014,Lat,51.996621,,,,,,,
Station no,2137,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.74,0.85,,
February,,,,,,,,,0.77,0.41,,
March,,,,,,,,,3.12,2.43,,
April,,,,,,,,,2.59,1.66,,
May,,,,,,,,,1.56,0.85,,
June,,,,,,,,,0.94,2.23,,
July,,,,,,,,,1.74,2.06,,
August,,,,,,,,,2.98,1.85,,
September,,,,,,,,,1.69,2.75,,
October,,,,,,,,,1.50,2.90,,
November,,,,,,,,,1.13,0.62,,
December,,,,,,,,,1.91,3.82,,
Total,,,,,,,,,20.67,22.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.67,22.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
