"MORPETH COCKLE PARK",,,,,,,,,,,,
Grid ref,NZ201912,Long,-1.685646,Lat,55.214635,,,,,,,
Station no,3587,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.62,1.83,0.84,3.56,2.10,0.52,2.21,0.71,1.65,1.32,,
February,5.72,1.84,1.64,1.45,2.09,0.76,1.02,1.47,1.56,2.11,,
March,2.27,2.39,1.15,1.56,1.87,1.72,1.28,1.18,3.48,4.48,,
April,1.42,1.17,1.30,1.78,1.36,2.98,0.84,1.59,2.38,2.75,,
May,1.32,3.41,3.32,2.00,2.78,1.45,5.56,4.36,1.84,2.06,,
June,4.15,1.52,2.33,2.55,2.32,0.64,1.83,2.89,0.46,2.26,,
July,1.97,2.64,2.66,3.87,1.26,0.95,1.70,1.79,2.72,2.18,,
August,5.41,2.50,1.96,2.60,2.80,4.29,3.93,2.81,2.41,2.96,,
September,0.78,1.09,0.82,2.21,0.88,1.45,0.55,0.43,3.03,2.02,,
October,6.05,2.07,2.31,8.90,0.48,3.24,5.69,5.57,1.95,2.94,,
November,3.97,4.92,1.46,2.09,4.10,4.68,3.31,1.98,1.51,0.74,,
December,1.99,4.38,4.57,2.64,1.85,0.61,3.13,3.66,2.89,3.66,,
Total,38.67,29.76,24.36,35.21,23.89,23.29,31.05,28.44,25.88,29.48,,
Calc annual,38.67,29.76,24.36,35.21,23.89,23.29,31.05,28.44,25.88,29.48,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
