"GATESHEAD EIGHTON COTTAGE",,,,,,,,,,,,
Grid ref,NZ276585,Long,-1.570930,Lat,54.920438,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.97,1.75,0.79,2.47,,,,,,,,
February,5.71,1.82,1.27,1.25,,,,,,,,
March,1.84,1.98,0.84,1.27,,,,,,,,
April,1.17,1.05,1.38,1.66,,,,,,,,
May,1.51,2.25,2.58,2.67,,,,,,,,
June,4.06,1.27,2.41,2.84,,,,,,,,
July,1.97,3.27,3.21,4.12,,,,,,,,
August,6.61,2.50,1.94,2.00,,,,,,,,
September,0.77,1.13,0.66,2.61,,,,,,,,
October,6.09,1.33,2.62,7.66,,,,,,,,
November,3.36,4.44,0.93,2.54,,,,,,,,
December,2.19,2.73,2.76,1.82,,,,,,,,
Total,38.25,25.52,21.39,32.91,,,,,,,,
Calc annual,38.25,25.52,21.39,32.91,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
