"STOCKTON LONDONDERRY ROAD",,,,,,,,,,,,
Grid ref,NZ439200,Long,-1.322442,Lat,54.573318,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.95,0.54,,
February,,,,,,,,,1.68,1.25,,
March,,,,,,,,,2.41,3.84,,
April,,,,,,,,,2.28,1.76,,
May,,,,,,,,,1.67,1.56,,
June,,,,,,,,,0.62,2.41,,
July,,,,,,,,,2.89,2.76,,
August,,,,,,,,,1.11,4.81,,
September,,,,,,,,,1.71,1.72,,
October,,,,,,,,,1.31,2.51,,
November,,,,,,,,,1.35,1.03,,
December,,,,,,,,,0.83,2.85,,
Total,,,,,,,,,18.81,27.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.81,27.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
