"STAFFORD EASTGATE STREET",,,,,,,,,,,,
Grid ref,SJ923232,Long,-2.115664,Lat,52.806295,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.12,1.10,3.73,1.65,,,,
February,,,,,2.84,0.65,2.15,1.42,,,,
March,,,,,1.53,2.79,1.79,1.35,,,,
April,,,,,1.83,1.37,1.29,1.64,,,,
May,,,,,1.97,0.69,2.60,4.20,,,,
June,,,,,0.53,2.05,1.53,2.84,,,,
July,,,,,1.74,2.29,0.75,2.74,,,,
August,,,,,3.80,4.09,2.17,2.08,,,,
September,,,,,1.40,0.97,1.61,0.90,,,,
October,,,,,1.43,1.36,4.60,3.71,,,,
November,,,,,1.63,2.56,2.66,2.32,,,,
December,,,,,1.80,0.89,2.97,2.57,,,,
Total,,,,,22.62,20.81,27.85,27.42,,,,
Calc annual,0.00,0.00,0.00,0.00,22.62,20.81,27.85,27.42,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,,
