"HINGHAM",,,,,,,,,,,,
Grid ref,TG022022,Long,0.982902,Lat,52.580001,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.53,0.73,1.34,2.01,1.75,1.08,3.83,1.58,0.92,,,
February,2.46,0.98,0.83,0.53,2.70,1.44,2.59,1.63,2.07,,,
March,1.10,1.85,1.42,1.96,1.77,2.14,2.14,1.47,2.11,,,
April,1.38,2.62,1.32,2.23,0.98,2.34,0.75,2.87,2.69,,,
May,1.68,1.78,3.55,1.78,1.70,1.03,1.85,2.31,1.43,,,
June,3.45,1.46,2.82,2.91,0.87,3.24,2.53,2.45,1.30,,,
July,2.11,1.19,2.09,5.16,2.66,0.84,0.55,1.86,3.41,,,
August,3.75,1.02,2.93,2.92,1.82,2.81,2.26,1.39,3.00,,,
September,0.85,1.25,0.73,3.50,2.36,2.80,1.37,0.46,2.23,,,
October,2.27,2.21,1.55,5.98,1.01,3.46,3.75,2.57,1.70,,,
November,2.89,2.25,1.54,1.59,1.75,1.91,3.93,2.73,1.27,,,
December,3.11,3.54,1.61,1.23,1.81,1.05,2.52,2.67,1.97,,,
Total,28.58,20.88,21.73,31.80,21.18,24.14,28.07,23.99,24.10,,,
Calc annual,28.58,20.88,21.73,31.80,21.18,24.14,28.07,23.99,24.10,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
