"DUNDALK MOUNT PLEASANT",,,,,,,,,,,,
Grid ref,IJ0627612219,Long,-6.377983,Lat,54.048335,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,3.76,1.76,4.38,3.22,2.57,4.33,1.29,2.55,2.11,,
February,2.58,1.27,3.39,2.61,3.92,1.39,2.30,2.24,2.14,0.88,,
March,1.07,2.28,1.81,4.56,1.90,4.95,2.35,2.55,4.01,2.64,,
April,2.31,2.27,2.89,1.44,2.32,2.01,1.46,2.52,2.63,4.33,,
May,2.23,2.75,2.99,2.74,2.17,1.83,4.54,3.79,2.60,1.81,,
June,4.40,2.49,3.52,1.84,2.57,2.34,1.89,4.04,1.56,1.70,,
July,3.51,0.77,3.80,4.94,3.60,1.52,2.42,2.32,4.03,3.19,,
August,4.73,4.66,2.69,5.53,4.73,7.84,4.34,3.59,1.78,1.49,,
September,1.41,3.04,2.96,4.76,3.32,1.27,1.16,1.20,5.51,1.30,,
October,4.46,2.84,2.19,4.02,0.94,1.21,4.02,4.63,3.47,4.35,,
November,5.49,4.69,4.73,2.00,2.55,3.44,2.72,3.66,2.27,0.90,,
December,3.32,3.04,2.79,3.56,2.45,1.86,2.55,3.55,3.48,4.09,,
Total,38.38,33.86,35.52,42.38,33.69,32.23,34.08,35.38,36.03,28.79,,
Calc annual,38.38,33.86,35.52,42.38,33.69,32.23,34.08,35.38,36.03,28.79,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
