"ASHFORD BETHERSDEN OAKHURST",,,,,,,,,,,,
Grid ref,TQ933338,Long,0.757731,Lat,51.070971,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.29,0.93,0.95,2.37,,,,,,,,
February,5.48,1.83,1.22,1.15,,,,,,,,
March,1.15,2.07,1.40,1.79,,,,,,,,
April,0.59,2.00,0.80,2.50,,,,,,,,
May,0.83,1.30,1.70,2.32,,,,,,,,
June,2.66,2.03,1.62,3.60,,,,,,,,
July,1.43,2.43,1.83,5.22,,,,,,,,
August,1.74,1.82,4.04,3.49,,,,,,,,
September,0.85,1.09,1.21,1.80,,,,,,,,
October,1.77,2.53,1.81,4.51,,,,,,,,
November,3.17,0.63,2.39,2.47,,,,,,,,
December,2.94,5.06,2.27,1.67,,,,,,,,
Total,25.90,23.72,21.24,32.89,,,,,,,,
Calc annual,25.90,23.72,21.24,32.89,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
