"ARISAIG HOUSE",,,,,,,,,,,,
Grid ref,NM692848,Long,-5.791467,Lat,56.896917,,,,,,,
Station no,5721,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.51,4.51,6.44,7.68,7.52,5.66,7.80,5.65,6.48,6.19,,
February,2.67,3.53,1.60,9.42,4.41,5.99,5.88,5.80,8.00,3.79,,
March,1.15,3.61,7.26,8.36,2.54,6.45,3.10,5.49,6.15,0.79,,
April,5.27,4.48,2.86,3.18,7.03,3.49,3.51,2.86,2.25,3.05,,
May,3.04,1.12,4.48,3.32,4.88,4.09,4.40,2.99,3.51,3.75,,
June,2.54,3.20,1.18,3.19,3.73,1.83,1.25,4.90,4.88,1.19,,
July,6.49,3.83,5.16,5.47,3.42,5.00,6.17,3.65,5.49,7.96,,
August,7.08,5.99,5.33,8.98,5.44,4.25,5.13,8.26,6.36,6.30,,
September,6.35,5.47,6.33,4.83,5.16,7.62,4.64,2.13,8.20,3.71,,
October,8.62,8.18,5.76,10.18,5.43,6.93,5.81,3.27,0.94,7.05,,
November,5.13,7.48,4.17,7.46,6.77,5.24,8.38,7.33,5.20,5.30,,
December,10.75,8.14,6.16,4.76,5.20,5.16,9.70,6.24,6.47,8.51,,
Total,66.60,59.54,56.73,76.83,61.53,61.71,65.77,58.57,63.93,57.59,,
Calc annual,66.60,59.54,56.73,76.83,61.53,61.71,65.77,58.57,63.93,57.59,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
