"KINTYRE SKIPNESS CASTLE",,,,,,,,,,,,
Grid ref,NR907576,Long,-5.337960,Lat,55.766331,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.23,3.92,4.84,6.47,6.12,4.28,5.78,3.23,5.05,5.23,,
February,3.76,3.12,1.15,6.75,3.47,3.43,4.74,3.04,4.93,3.12,,
March,0.54,3.40,4.17,7.13,4.17,5.27,3.15,5.46,4.58,2.67,,
April,3.26,3.93,1.83,2.37,5.12,3.63,2.44,2.23,1.80,3.44,,
May,3.40,1.53,3.33,3.17,4.94,1.93,4.95,3.77,3.10,2.63,,
June,2.16,3.78,1.93,2.03,0.93,1.40,2.92,4.04,2.92,2.38,,
July,5.10,1.23,3.77,4.47,2.22,2.47,4.16,3.22,3.26,3.36,,
August,5.64,2.93,3.97,8.47,4.97,6.79,5.73,5.74,4.38,3.93,,
September,4.93,5.16,3.47,5.27,4.82,3.07,2.17,1.19,5.85,5.59,,
October,6.78,4.83,3.11,8.07,3.78,4.33,8.63,5.96,1.83,5.23,,
November,6.63,6.96,5.23,4.44,4.82,5.78,5.88,4.63,4.72,3.37,,
December,8.78,4.63,5.34,3.87,3.92,3.73,6.12,6.38,3.64,4.22,,
Total,57.21,45.42,42.14,62.51,49.28,46.11,56.67,48.89,46.06,45.17,,
Calc annual,57.21,45.42,42.14,62.51,49.28,46.11,56.67,48.89,46.06,45.17,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
