"SHEFFIELD REDMIRES RESERVOIR",,,,,,,,,,,,
Grid ref,SK262857,Long,-1.607721,Lat,53.367522,,,,,,,
Station no,443041,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.99,3.49,3.19,3.66,3.58,2.45,5.07,1.77,3.82,2.61,,
February,4.28,1.54,2.01,3.84,6.24,2.18,3.95,2.71,2.93,2.15,,
March,1.51,3.11,2.30,5.03,2.67,3.83,3.40,3.54,3.86,4.46,,
April,1.89,2.85,2.85,2.31,2.69,3.12,1.59,2.57,3.47,2.36,,
May,1.64,1.53,3.94,3.66,2.63,0.72,3.03,4.48,3.90,2.61,,
June,3.40,1.54,1.96,1.65,0.82,3.45,2.25,5.32,2.29,3.85,,
July,5.24,4.06,2.67,3.33,1.95,2.69,2.98,3.36,3.23,4.60,,
August,6.24,2.00,5.52,5.89,4.62,4.87,2.66,4.14,3.88,2.71,,
September,0.88,1.00,2.27,4.53,1.59,2.18,1.15,0.67,2.69,3.37,,
October,3.45,2.89,5.51,8.44,0.98,2.91,6.57,7.40,1.68,4.45,,
November,3.48,7.12,3.18,3.43,4.01,5.81,5.27,3.79,2.99,1.50,,
December,6.23,5.89,3.57,1.89,2.52,1.34,3.57,3.15,2.66,8.36,,
Total,44.23,37.02,38.97,47.66,34.30,35.55,41.49,42.90,37.40,43.03,,
Calc annual,44.23,37.02,38.97,47.66,34.30,35.55,41.49,42.90,37.40,43.03,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
