"BALCOMBE WATERWORKS",,,,,,,,,,,,
Grid ref,TQ290312,Long,-0.160362,Lat,51.065649,,,,,,,
Station no,524,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,1.73,,
May,,,,,,,,,,1.91,,
June,,,,,,,,,,3.08,,
July,,,,,,,,,,3.28,,
August,,,,,,,,,,2.73,,
September,,,,,,,,,,3.65,,
October,,,,,,,,,,7.69,,
November,,,,,,,,,,1.37,,
December,,,,,,,,,,5.52,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.96,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
