"ULDALE CHAPEL HOUSE RESERVOIR",,,,,,,,,,,,
Grid ref,NY260360,Long,-3.150162,Lat,54.713542,,,,,,,
Station no,3608,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.46,6.69,2.19,4.39,3.24,,
February,,,,,,2.74,3.35,2.05,3.49,4.34,,
March,,,,,,3.42,2.53,4.28,4.26,4.35,,
April,,,,,,3.31,1.40,2.78,2.61,3.36,,
May,,,,,,2.38,5.61,4.07,3.23,1.71,,
June,,,,,,1.60,1.95,5.39,2.17,3.12,,
July,,,,,,2.40,3.02,2.72,5.08,8.08,,
August,,,,,,4.24,5.21,3.80,5.96,3.70,,
September,,,,,,3.85,1.55,0.43,4.99,3.04,,
October,,,,,,3.73,7.14,9.50,1.56,7.30,,
November,,,,,,4.08,4.79,4.61,3.56,3.26,,
December,,,,,,3.15,4.88,7.31,3.50,6.39,,
Total,,,,,,37.36,48.12,49.13,44.80,51.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,37.36,48.12,49.13,44.80,51.89,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,,
