"EAST MEON WESTBURY HOUSE",,,,,,,,,,,,
Grid ref,SU658239,Long,-1.063449,Lat,51.010727,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.08,1.82,1.56,3.04,5.67,1.01,8.74,1.12,2.08,1.24,,
February,5.91,1.77,1.95,2.10,5.22,0.91,3.72,1.93,1.54,0.57,,
March,1.00,3.30,2.93,3.91,1.56,5.68,1.47,1.14,3.91,4.90,,
April,1.31,2.88,1.82,2.55,1.84,1.17,0.78,4.89,2.78,1.97,,
May,1.63,0.91,3.38,3.52,4.43,0.68,2.49,2.47,2.42,2.37,,
June,4.28,1.04,4.52,3.10,0.94,3.02,1.49,2.52,1.14,4.02,,
July,1.75,3.56,1.81,3.60,1.83,1.66,0.48,1.48,3.04,3.96,,
August,3.34,2.68,4.31,3.95,2.34,3.87,1.00,2.74,4.56,2.72,,
September,0.73,2.40,1.11,2.81,2.74,2.55,1.67,0.60,3.14,2.99,,
October,2.44,3.40,2.46,9.67,3.65,1.67,7.43,8.74,2.25,9.32,,
November,3.65,0.73,4.08,2.80,1.33,4.90,5.23,3.09,1.56,0.68,,
December,4.65,4.20,2.59,4.67,3.99,1.03,2.55,5.50,3.46,5.35,,
Total,34.77,28.69,32.52,45.72,35.34,28.15,37.05,36.22,31.88,40.09,,
Calc annual,34.77,28.69,32.52,45.72,35.54,28.15,37.05,36.22,31.88,40.09,,
Difference,0.00,0.00,0.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,,
