"GRAYS SEWAGE WORKS",,,,,,,,,,,,
Grid ref,TQ623768,Long,0.335180,Lat,51.466898,,,,,,,
Station no,1245,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.18,0.51,0.48,1.87,1.87,0.76,3.32,1.17,0.81,0.88,,
February,3.03,0.80,0.82,1.04,2.04,0.78,1.50,1.14,0.90,0.62,,
March,0.78,1.78,1.04,1.45,1.09,2.47,0.80,-999.00,1.74,2.19,,
April,0.52,1.32,0.39,1.61,0.71,1.91,0.63,2.24,1.98,1.37,,
May,1.06,1.44,2.31,1.66,1.52,0.73,1.23,1.91,1.39,1.28,,
June,2.12,0.77,2.54,5.59,1.01,3.34,1.90,2.03,0.99,2.84,,
July,1.33,2.74,1.38,5.50,2.36,0.44,0.53,1.29,4.18,3.41,,
August,2.06,1.31,2.50,2.79,1.62,1.97,0.49,2.05,2.68,2.07,,
September,0.52,0.87,0.55,1.82,0.94,1.43,1.72,0.30,1.26,2.11,,
October,1.34,2.21,1.28,4.06,1.61,1.06,4.24,2.93,1.14,3.30,,
November,1.97,0.59,1.13,1.88,1.28,2.59,3.52,2.01,0.76,0.75,,
December,1.72,2.82,1.24,1.50,2.08,0.57,1.47,1.82,1.31,2.55,,
Total,18.63,17.16,15.66,30.77,18.13,18.05,21.35,19.72,19.14,23.37,,
Calc annual,18.63,17.16,15.66,30.77,18.13,18.05,21.35,18.89,19.14,23.37,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,,
