"MATHIESIDE CAIRN",,,,,,,,,,,,
Grid ref,NT130222,Long,-3.378290,Lat,55.485834,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.20,5.71,,
February,,,,,,,,,1.30,2.20,,
March,,,,,,,,,2.46,5.79,,
April,,,,,,,,,1.32,4.07,,
May,,,,,,,,,2.60,2.72,,
June,,,,,,,,,2.25,2.79,,
July,,,,,,,,,3.02,5.32,,
August,,,,,,,,,4.25,3.05,,
September,,,,,,,,,5.10,3.21,,
October,,,,,,,,,2.01,11.28,,
November,,,,,,,,,2.20,2.51,,
December,,,,,,,,,2.05,5.50,,
Total,,,,,,,,,31.76,54.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.76,54.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
