"LOCH NESS, DRUMNADROCHIT",,,,,,,,,,,,
Grid ref,NH514302,Long,-4.470492,Lat,57.338023,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.76,3.44,2.58,7.86,3.61,3.12,6.37,2.40,3.74,5.15,,
February,1.41,2.80,1.13,6.59,2.16,3.94,3.42,2.90,4.75,1.74,,
March,1.31,3.40,2.71,6.69,1.04,3.09,3.50,2.66,5.36,2.07,,
April,3.07,1.09,1.45,1.65,4.15,1.21,1.91,1.51,1.55,1.97,,
May,1.10,1.46,3.68,2.11,3.01,1.99,3.46,2.09,1.39,2.74,,
June,2.42,2.65,2.26,1.93,1.95,0.68,1.09,4.08,1.44,1.13,,
July,4.94,2.64,1.82,4.28,0.87,2.45,2.02,2.24,1.70,3.65,,
August,3.97,2.37,2.47,3.29,3.28,2.58,3.16,2.81,2.69,1.62,,
September,2.94,1.41,1.65,2.85,2.45,1.84,1.36,0.66,6.20,1.87,,
October,3.49,2.52,2.49,5.72,1.74,3.68,6.27,3.67,0.67,5.69,,
November,3.41,2.25,0.75,3.61,2.47,4.41,3.45,3.12,3.39,2.33,,
December,8.78,6.20,5.28,1.26,3.78,2.51,3.10,2.93,3.80,2.08,,
Total,41.60,32.23,28.27,47.84,30.51,31.50,39.11,31.07,36.68,32.04,,
Calc annual,41.60,32.23,28.27,47.84,30.51,31.50,39.11,31.07,36.68,32.04,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
