"BRAEMAR CANMORE",,,,,,,,,,,,
Grid ref,NO153911,Long,-3.396052,Lat,57.003257,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.56,3.30,,
February,,,,,,,,,3.56,0.53,,
March,,,,,,,,,4.00,7.30,,
April,,,,,,,,,4.55,3.14,,
May,,,,,,,,,1.44,3.15,,
June,,,,,,,,,1.00,1.38,,
July,,,,,,,,,2.82,3.20,,
August,,,,,,,,,2.33,2.10,,
September,,,,,,,,,3.65,1.39,,
October,,,,,,,,,1.44,5.89,,
November,,,,,,,,,2.78,1.02,,
December,,,,,,,,,1.59,2.62,,
Total,,,,,,,,,31.72,35.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.72,35.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
