"PENICUICK EDGELAW RESERVOIR",,,,,,,,,,,,
Grid ref,NT303581,Long,-3.113708,Lat,55.811117,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.20,1.65,1.34,3.34,2.69,0.66,3.63,1.93,3.15,3.33,,
February,8.84,1.86,1.06,3.92,3.70,1.46,1.52,2.23,1.54,1.97,,
March,1.30,2.24,2.05,3.99,1.69,3.67,3.33,2.50,4.98,6.10,,
April,1.49,2.43,1.72,1.01,2.26,2.61,1.29,1.66,1.55,3.08,,
May,1.20,2.16,3.30,1.91,3.25,1.68,5.00,3.05,2.63,1.44,,
June,2.95,2.19,3.70,1.82,2.93,1.17,2.19,3.37,1.13,1.66,,
July,2.30,1.06,1.98,4.17,1.85,1.63,1.88,3.14,4.25,3.08,,
August,3.50,5.20,1.12,4.28,5.24,2.96,7.72,3.76,1.99,2.27,,
September,2.41,0.81,1.89,2.28,1.70,3.30,0.79,1.57,4.04,2.49,,
October,4.20,2.95,1.84,6.64,1.00,2.31,7.20,8.62,0.93,4.19,,
November,4.13,6.14,1.95,0.74,1.73,3.10,5.43,1.82,1.67,0.76,,
December,5.68,6.22,3.11,1.63,2.08,2.23,1.69,4.07,0.85,4.53,,
Total,41.20,34.91,25.06,35.73,30.12,26.78,41.67,37.72,28.71,34.90,,
Calc annual,41.20,34.91,25.06,35.73,30.12,26.78,41.67,37.72,28.71,34.90,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
