"WIDWORTHY COURT HONITON",,,,,,,,,,,,
Grid ref,SY206996,Long,-3.127828,Lat,50.790509,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.22,,,,
February,,,,,,,,1.82,,,,
March,,,,,,,,0.99,,,,
April,,,,,,,,5.14,,,,
May,,,,,,,,2.57,,,,
June,,,,,,,2.72,2.92,,,,
July,,,,,,,1.04,1.75,,,,
August,,,,,,,1.63,,,,,
September,,,,,,,1.29,,,,,
October,,,,,,,6.88,,,,,
November,,,,,,,3.83,,,,,
December,,,,,,,2.20,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,19.59,16.41,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
