"SLAIDBURN HAREDEN BROOK",,,,,,,,,,,,
Grid ref,SD635503,Long,-2.557605,Lat,53.947506,,,,,,,
Station no,3077,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.60,3.75,6.40,9.60,6.30,5.30,10.40,3.50,7.60,4.30,,
February,4.80,2.75,2.30,8.20,6.25,4.80,6.35,4.30,6.10,6.95,,
March,1.10,6.80,4.75,8.65,4.45,6.10,8.10,7.60,4.60,4.70,,
April,5.85,3.55,2.55,4.10,6.45,6.75,2.75,2.85,3.00,5.85,,
May,2.40,1.25,3.75,5.15,3.55,1.30,7.70,4.80,4.56,3.25,,
June,3.90,3.50,1.70,2.80,2.14,3.70,3.45,11.80,4.40,2.75,,
July,3.20,1.50,6.05,5.55,3.20,4.45,3.60,4.80,5.55,10.50,,
August,7.70,6.65,4.80,9.15,6.40,6.35,6.50,7.95,6.50,5.70,,
September,4.60,2.90,2.35,8.50,2.80,5.70,2.45,1.55,9.20,4.80,,
October,10.80,5.90,6.75,14.30,5.30,5.85,11.10,5.20,3.70,9.55,,
November,6.75,7.85,4.35,4.95,6.15,7.05,6.40,5.70,7.25,4.75,,
December,10.40,7.90,7.30,6.20,6.60,2.30,6.70,8.85,3.30,10.55,,
Total,71.10,54.30,53.05,87.15,59.59,59.65,75.50,68.90,65.76,73.65,,
Calc annual,71.10,54.30,53.05,87.15,59.59,59.65,75.50,68.90,65.76,73.65,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
