"BLABY HAVELOCK HOUSE",,,,,,,,,,,,
Grid ref,SP567976,Long,-1.164798,Lat,52.573273,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.90,1.02,,
February,,,,,,,,,1.08,0.67,,
March,,,,,,,,,2.83,2.79,,
April,,,,,,,,,3.05,1.26,,
May,,,,,,,,,1.99,1.47,,
June,,,,,,,,2.21,1.25,2.76,,
July,,,,,,,,2.77,3.04,3.30,,
August,,,,,,,,2.43,3.30,2.40,,
September,,,,,,,,1.11,1.33,2.28,,
October,,,,,,,,4.85,1.24,3.18,,
November,,,,,,,,2.11,1.12,0.47,,
December,,,,,,,,2.93,1.57,3.73,,
Total,,,,,,,,,22.70,25.33,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.41,22.70,25.33,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
