"THIRSK CLIFF HEAD BOLTBY",,,,,,,,,,,,
Grid ref,SE494870,Long,-1.242856,Lat,54.276267,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.38,3.30,0.49,1.16,0.56,,
February,,,,,,1.30,1.67,1.29,1.95,0.91,,
March,,,,,,2.17,1.76,0.87,2.95,3.39,,
April,,,,,,3.09,1.68,2.86,3.79,2.44,,
May,,,,,,0.99,3.75,3.56,1.51,1.25,,
June,,,,,,1.36,1.39,3.80,0.33,2.63,,
July,,,,,,1.16,1.23,1.82,3.61,2.93,,
August,,,,,,3.10,2.61,2.19,1.59,3.92,,
September,,,,,,3.13,0.79,0.83,2.72,2.32,,
October,,,,,,2.46,5.96,4.53,1.25,3.33,,
November,,,,,,4.94,3.18,2.60,1.75,0.83,,
December,,,,,,0.30,1.56,3.31,1.65,3.63,,
Total,,,,,,24.38,28.88,28.15,24.26,28.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.38,28.88,28.15,24.26,28.14,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
