"BENNINGTON HOUSE",,,,,,,,,,,,
Grid ref,TL3107622404,Long,-0.096942,Lat,51.884795,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.67,0.66,0.60,2.27,2.44,1.42,3.47,1.03,1.14,0.86,,
February,3.91,1.08,0.91,0.82,2.82,0.81,1.66,1.40,1.12,0.49,,
March,0.66,1.74,1.18,2.88,1.24,2.69,1.51,1.00,2.54,3.26,,
April,1.21,1.89,0.67,1.58,0.80,1.72,0.46,2.86,2.58,1.57,,
May,1.08,1.15,2.10,1.95,1.56,0.85,0.96,2.37,1.56,1.36,,
June,2.40,0.82,2.64,5.08,0.80,3.32,3.35,2.06,0.96,4.03,,
July,1.03,3.62,1.46,5.12,3.67,1.78,0.57,2.08,2.36,3.24,,
August,2.89,1.95,3.16,3.98,2.51,3.68,1.18,1.75,3.21,2.14,,
September,0.59,1.07,1.34,2.36,1.24,1.68,1.19,0.52,1.37,1.96,,
October,2.07,1.54,1.26,5.46,1.20,1.41,4.00,3.11,1.19,4.30,,
November,1.94,0.87,1.28,2.27,1.51,2.31,3.77,2.02,0.69,0.99,,
December,2.85,3.14,1.34,1.81,2.06,0.84,2.44,3.19,1.81,3.09,,
Total,23.30,19.53,17.94,35.58,21.85,22.51,24.56,23.39,20.53,27.29,,
Calc annual,23.30,19.53,17.94,35.58,21.85,22.51,24.56,23.39,20.53,27.29,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
