"MOHILL DRUMKILLA",,,,,,,,,,,,
Grid ref,IN0874999777,Long,-7.867480,Lat,53.947410,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.00,3.28,3.15,,
February,,,,,,,,2.51,2.85,1.70,,
March,,,,,,,,3.48,3.95,3.03,,
April,,,,,,,,2.23,2.94,4.53,,
May,,,,,,,,4.42,3.70,2.42,,
June,,,,,,,,5.00,1.95,1.88,,
July,,,,,,,,2.89,2.44,3.05,,
August,,,,,,,,3.51,2.41,1.81,,
September,,,,,,,,1.87,6.09,2.95,,
October,,,,,,,,4.24,1.68,5.21,,
November,,,,,,,2.00,2.57,3.31,1.95,,
December,,,,,,,3.90,3.95,4.34,4.51,,
Total,,,,,,,,38.67,38.94,36.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.90,38.67,38.94,36.19,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
