"ARBROATH WATERWORKS TOWER M",,,,,,,,,,,,
Grid ref,NO635407,Long,-2.595396,Lat,56.556847,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.70,0.70,0.43,2.17,,,,,,,,
February,0.77,1.06,0.76,1.80,,,,,,,,
March,0.23,0.81,0.68,1.37,,,,,,,,
April,1.03,1.71,1.03,0.32,,,,,,,,
May,0.67,1.17,1.47,0.66,,,,,,,,
June,1.40,1.04,1.54,1.50,,,,,,,,
July,3.09,0.54,1.96,3.01,,,,,,,,
August,2.03,2.61,1.45,3.12,,,,,,,,
September,1.61,0.75,0.96,1.41,,,,,,,,
October,1.28,1.34,0.91,3.12,,,,,,,,
November,1.30,1.34,0.92,0.62,,,,,,,,
December,2.15,1.44,1.11,1.39,,,,,,,,
Total,17.26,14.51,13.22,20.49,,,,,,,,
Calc annual,17.26,14.51,13.22,20.49,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
