"NEUADD RESERVOIR NO. 11",,,,,,,,,,,,
Grid ref,SO032185,Long,-3.406952,Lat,51.856664,,,,,,,
Station no,4162,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.61,3.22,,
February,,,,,,,,,3.28,1.05,,
March,,,,,,,,,5.48,8.51,,
April,,,,,,,,,3.96,5.70,,
May,,,,,,,,,4.71,2.68,,
June,,,,,,,,,2.64,4.92,,
July,,,,,,,,,7.27,5.07,,
August,,,,,,,,,9.04,2.59,,
September,,,,,,,,,4.78,5.75,,
October,,,,,,,,,5.44,15.32,,
November,,,,,,,,,4.31,3.24,,
December,,,,,,,,,7.19,17.19,,
Total,,,,,,,,,62.71,75.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.71,75.24,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
