"CONGLETON PARK LANE CHESHIRE",,,,,,,,,,,,
Grid ref,SJ864627,Long,-2.204859,Lat,53.161248,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.77,1.99,,
February,,,,,,,,,2.65,0.87,,
March,,,,,,,,,2.58,3.68,,
April,,,,,,,,,2.15,2.13,,
May,,,,,,,,,2.19,2.07,,
June,,,,,,,,,1.89,3.22,,
July,,,,,,,,,2.23,5.27,,
August,,,,,,,,,2.82,3.41,,
September,,,,,,,,,2.87,3.10,,
October,,,,,,,,,0.96,4.96,,
November,,,,,,,,1.89,2.52,0.81,,
December,,,,,,,,1.71,2.40,5.93,,
Total,,,,,,,,,27.03,37.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,27.03,37.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
