"FALKIRK KERSE NO 1 GAUGE",,,,,,,,,,,,
Grid ref,NS912817,Long,-3.746832,Lat,56.015830,,,,,,,
Station no,5346,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.70,2.80,2.60,7.90,3.00,1.30,4.30,1.40,4.50,4.50,,
February,2.70,0.60,1.40,7.90,2.80,1.80,2.00,3.60,1.80,1.30,,
March,1.10,2.40,2.10,8.60,1.80,3.50,3.60,3.00,3.90,2.70,,
April,2.00,2.60,0.70,1.50,4.00,1.40,0.90,1.30,1.10,3.10,,
May,1.70,1.60,1.70,1.20,2.70,1.50,4.30,4.00,2.70,2.60,,
June,3.50,2.30,1.80,2.00,1.20,0.70,1.50,3.80,1.80,1.70,,
July,2.60,1.20,2.70,4.20,1.70,2.90,2.40,2.20,3.00,2.60,,
August,3.60,3.90,2.90,4.10,4.10,3.40,4.40,4.20,2.60,2.40,,
September,3.20,1.70,1.80,2.30,2.00,1.40,2.00,1.00,4.50,1.70,,
October,4.70,2.80,1.30,6.70,1.20,2.40,4.40,5.20,1.60,4.30,,
November,4.50,2.60,1.50,1.60,1.50,4.00,3.60,1.90,2.90,0.80,,
December,5.90,3.30,3.60,2.20,3.70,3.20,2.60,5.00,1.90,5.80,,
Total,40.20,27.80,24.10,50.20,29.70,27.50,36.00,36.60,32.30,33.50,,
Calc annual,40.20,27.80,24.10,50.20,29.70,27.50,36.00,36.60,32.30,33.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
