"MONASTEREVIN MOORE ABBEY",,,,,,,,,,,,
Grid ref,IN6269309796,Long,-7.063889,Lat,53.135250,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.42,3.75,2.46,,3.73,2.01,3.99,0.98,2.60,1.81,,
February,2.56,1.74,1.76,13.00,4.26,1.01,2.26,1.78,1.70,0.66,,
March,1.17,2.11,2.37,,2.21,4.03,1.94,2.30,3.29,3.13,,
April,2.43,1.86,2.52,1.55,1.58,1.85,1.81,3.52,2.19,5.34,,
May,2.22,1.72,1.59,1.99,1.63,1.43,3.45,3.33,2.43,1.79,,
June,4.65,2.12,2.47,2.59,2.04,1.78,1.08,3.49,1.53,2.84,,
July,1.81,1.21,2.19,3.32,3.26,1.25,1.98,2.16,2.45,2.95,,
August,6.55,3.33,3.39,3.33,4.98,5.26,2.26,3.11,2.84,1.24,,
September,1.50,4.45,3.17,3.91,2.45,1.51,0.92,1.45,6.45,2.07,,
October,3.76,3.15,2.28,3.22,1.63,0.96,4.14,4.22,1.72,5.60,,
November,6.18,2.94,3.71,2.50,1.78,2.28,1.44,3.44,2.33,1.96,,
December,3.06,3.32,2.91,2.22,1.89,1.44,2.76,3.08,3.01,4.26,,
Total,38.31,31.70,30.82,37.63,31.44,24.81,28.03,32.86,32.54,33.65,,
Calc annual,38.31,31.70,30.82,37.63,31.44,24.81,28.03,32.86,32.54,33.65,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
