"MAYBOLE, CULZEAN CASTLE GARDENS",,,,,,,,,,,,
Grid ref,NS232103,Long,-4.790375,Lat,55.354807,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.90,2.60,5.05,6.50,3.40,2.40,4.00,2.20,4.30,4.10,,
February,2.75,1.40,0.70,4.75,2.95,3.35,2.30,2.50,2.75,4.40,,
March,0.25,1.90,3.20,5.75,2.00,3.40,4.00,3.75,3.80,3.25,,
April,2.50,3.25,0.90,1.05,3.35,2.10,1.60,2.45,1.35,2.10,,
May,2.50,1.30,2.80,4.45,1.80,1.70,3.75,3.75,2.40,1.50,,
June,1.50,3.30,1.40,2.50,1.30,1.90,1.60,4.05,2.30,2.15,,
July,3.40,1.00,2.10,2.75,2.90,2.60,2.75,2.50,3.70,5.15,,
August,5.40,5.00,3.15,5.05,5.20,4.80,4.15,3.30,2.95,2.70,,
September,3.40,3.15,4.35,2.70,3.40,3.50,1.65,0.85,4.95,2.15,,
October,5.15,5.00,2.05,7.50,2.10,3.45,6.30,6.40,1.30,6.20,,
November,5.20,4.90,2.80,3.75,3.90,4.05,3.45,3.95,3.85,1.90,,
December,4.45,4.05,3.10,3.60,2.65,3.40,4.75,4.30,3.95,4.10,,
Total,41.40,36.85,31.60,50.35,34.95,36.65,40.30,40.00,37.60,39.70,,
Calc annual,41.40,36.85,31.60,50.35,34.95,36.65,40.30,40.00,37.60,39.70,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
