"LOCH TORRIDON BENDAMPH",,,,,,,,,,,,
Grid ref,NG814537,Long,-5.652178,Lat,57.520515,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,13.12,8.96,10.05,14.57,12.58,8.51,14.70,9.48,11.20,12.00,,
February,3.31,6.85,2.69,16.62,3.76,11.66,6.50,11.83,10.97,6.36,,
March,2.87,6.75,11.30,17.31,5.68,10.01,8.52,9.47,12.13,2.91,,
April,8.63,6.76,3.50,4.37,12.15,2.92,6.44,5.45,4.21,4.48,,
May,5.73,2.28,6.35,3.69,6.22,4.06,7.14,4.52,3.27,5.29,,
June,4.69,5.49,2.90,2.86,5.83,2.24,2.22,9.41,6.67,1.45,,
July,5.53,4.40,3.43,7.47,3.16,5.07,9.24,5.11,2.43,5.70,,
August,6.36,7.57,5.93,10.71,7.10,6.01,4.94,9.59,6.20,4.82,,
September,10.52,5.81,6.23,5.93,8.28,8.90,3.02,4.02,10.91,4.10,,
October,12.50,7.95,7.58,12.40,7.39,9.76,10.52,3.37,3.20,11.84,,
November,7.04,6.58,4.44,7.36,6.70,8.07,11.75,9.37,9.08,9.98,,
December,20.79,12.95,9.82,4.97,8.73,9.36,9.96,9.30,13.08,6.76,,
Total,101.09,82.35,74.22,108.26,87.58,86.57,94.95,90.92,93.35,75.69,,
Calc annual,101.09,82.35,74.22,108.26,87.58,86.57,94.95,90.92,93.35,75.69,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,,
