"GLENGAIRN CORNDAVON LODGE NO 13",,,,,,,,,,,,
Grid ref,NJ228021,Long,-3.276000,Lat,57.103363,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.06,5.12,2.59,1.35,3.07,2.37,2.16,3.16,,
February,,,0.65,4.55,3.55,2.15,2.70,2.77,3.13,1.24,,
March,,,2.25,4.96,1.82,4.68,2.30,1.50,7.88,7.62,,
April,,,2.36,2.19,3.00,3.17,1.57,3.69,3.24,3.34,,
May,,,5.79,2.28,2.58,1.66,6.71,4.57,2.01,3.11,,
June,,,3.46,1.89,1.70,0.87,1.53,3.71,1.25,1.69,,
July,,,3.56,4.87,1.48,1.35,1.46,1.56,3.48,4.09,,
August,,,2.58,4.22,4.27,3.74,2.31,4.80,2.37,2.63,,
September,,,2.21,3.27,1.97,2.08,1.70,1.29,5.29,1.84,,
October,,,3.01,5.84,0.82,5.71,6.15,5.63,1.33,5.59,,
November,,,3.58,2.45,1.76,7.18,7.91,2.19,2.70,1.98,,
December,,,5.16,2.81,2.86,1.65,3.65,2.67,2.82,2.70,,
Total,,,36.67,44.45,28.40,35.59,41.06,36.75,37.66,38.99,,
Calc annual,0.00,0.00,36.67,44.45,28.40,35.59,41.06,36.75,37.66,38.99,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
