"SHEFFIELD DALE DYKE RESERVOIR",,,,,,,,,,,,
Grid ref,SK245919,Long,-1.632790,Lat,53.423332,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.45,1.73,2.90,2.36,,
February,,,,,,,3.74,2.39,2.96,1.97,,
March,,,,,,,3.36,3.57,3.86,5.40,,
April,,,,,,,1.46,2.95,2.82,2.27,,
May,,,,,,,3.17,4.28,3.30,2.45,,
June,,,,,,,2.13,5.53,2.19,4.07,,
July,,,,,,,-999.00,2.26,3.99,4.52,,
August,,,,,,,2.71,3.16,3.36,2.08,,
September,,,,,,,1.03,0.68,2.48,2.53,,
October,,,,,,,6.18,6.54,1.32,4.47,,
November,,,,,,,4.97,3.76,2.70,1.40,,
December,,,,,,,3.96,3.27,1.86,8.47,,
Total,,,,,,,40.84,40.12,33.74,41.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,38.16,40.12,33.74,41.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,2.68,-0.00,0.00,0.00,,
