"CROMAR LOGIE COLDSTONE MANSE",,,,,,,,,,,,
Grid ref,NJ431055,Long,-2.941737,Lat,57.136864,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.85,3.34,,,,,,,,,,
February,4.05,3.03,,,,,,,,,,
March,2.61,3.20,,,,,,,,,,
April,2.23,1.34,,,,,,,,,,
May,1.54,2.69,,,,,,,,,,
June,2.62,2.03,,,,,,,,,,
July,4.04,2.16,,,,,,,,,,
August,4.95,2.91,,,,,,,,,,
September,1.58,0.82,,,,,,,,,,
October,2.98,2.00,,,,,,,,,,
November,3.17,2.24,,,,,,,,,,
December,2.87,3.41,,,,,,,,,,
Total,35.49,29.17,,,,,,,,,,
Calc annual,35.49,29.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
