"ENNISTYMON RECTORY",,,,,,,,,,,,
Grid ref,IR1296989425,Long,-9.295668,Lat,52.948805,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.61,3.78,6.61,6.06,7.48,4.59,8.00,2.31,5.39,5.15,,
February,2.66,0.92,3.27,5.69,6.11,2.90,4.82,3.91,3.96,2.65,,
March,1.03,3.78,3.86,7.75,3.20,5.66,3.46,2.96,4.50,2.81,,
April,3.08,3.75,2.57,2.30,3.81,3.00,2.13,2.77,1.61,5.03,,
May,2.75,2.13,2.41,2.88,2.81,1.22,3.44,3.67,3.91,1.63,,
June,5.13,3.39,2.32,0.92,1.72,2.04,3.07,4.81,1.63,2.83,,
July,3.08,2.07,1.76,4.90,5.31,3.16,2.97,2.97,2.77,3.57,,
August,6.59,6.59,2.90,6.67,5.13,4.68,4.09,5.11,5.93,1.70,,
September,2.36,7.61,1.76,5.68,4.20,3.20,1.81,3.30,7.63,3.37,,
October,7.20,7.54,2.40,8.26,3.96,2.24,5.55,5.62,1.78,6.51,,
November,5.35,5.15,7.45,4.26,3.60,3.64,2.75,4.23,3.61,3.05,,
December,7.11,5.15,5.02,5.99,4.56,2.95,5.48,6.23,6.27,5.13,,
Total,51.95,51.86,42.33,61.36,51.89,39.28,47.57,47.89,48.99,43.43,,
Calc annual,51.95,51.86,42.33,61.36,51.89,39.28,47.57,47.89,48.99,43.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
