"TOD HEAD",,,,,,,,,,,,
Grid ref,NO870769,Long,-2.214948,Lat,56.883296,,,,,,,
Station no,5616,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.91,1.30,,3.25,2.10,0.10,1.40,0.25,1.20,1.05,,
February,1.05,1.50,,3.15,5.25,0.80,1.05,0.45,0.68,0.15,,
March,1.20,0.47,,1.55,1.85,2.80,0.65,0.20,3.20,4.10,,
April,1.10,1.25,,1.35,1.15,1.55,1.15,0.90,0.90,2.85,,
May,1.40,0.25,,2.20,3.15,1.45,2.90,2.75,1.05,1.50,,
June,0.00,0.50,,1.10,0.75,0.80,0.15,4.70,0.70,0.90,,
July,1.99,0.40,,5.10,0.20,0.43,0.35,0.95,2.10,4.65,,
August,1.85,,,1.85,2.80,3.10,0.95,1.75,0.70,1.05,,
September,1.30,,,2.90,1.10,1.70,0.60,0.30,3.85,1.00,,
October,2.65,1.45,,2.90,1.10,1.55,2.25,2.50,1.90,2.00,,
November,3.50,1.65,,1.00,1.70,6.40,1.15,2.30,0.80,0.75,,
December,1.90,1.85,,1.80,2.05,0.85,0.40,2.35,1.00,3.15,,
Total,20.85,,,28.15,23.20,21.53,13.00,19.40,18.08,23.15,,
Calc annual,20.85,10.62,0.00,28.15,23.20,21.53,13.00,19.40,18.08,23.15,,
Difference,0.00,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
