"BURNSIDE (NEWCASTLE W.W.)",,,,,,,,,,,,
Grid ref,NZ166728,Long,-1.741721,Lat,55.049424,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.60,1.50,0.47,2.19,0.47,1.51,1.19,,
February,,,,1.85,2.32,0.91,0.74,0.99,1.61,2.24,,
March,,,,1.40,1.22,1.65,1.12,1.33,2.95,4.05,,
April,,,,1.15,1.90,3.20,1.24,2.12,1.47,2.80,,
May,,,,1.57,2.76,0.80,3.89,3.38,2.11,1.73,,
June,,,,2.35,1.82,0.89,1.70,3.24,0.84,2.14,,
July,,,,4.35,1.42,1.57,2.04,1.62,3.12,2.27,,
August,,,,2.81,2.18,3.48,4.85,2.29,1.65,2.69,,
September,,,,2.75,1.32,1.66,0.80,0.51,2.13,1.81,,
October,,,,7.65,0.63,2.13,4.68,5.67,2.79,2.34,,
November,,,,1.25,3.38,3.96,3.84,1.32,1.56,0.54,,
December,,,,1.90,1.58,0.75,2.40,2.55,0.99,3.59,,
Total,,,,31.63,22.03,21.47,29.49,25.49,22.73,27.39,,
Calc annual,0.00,0.00,0.00,31.63,22.03,21.47,29.49,25.49,22.73,27.39,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
