"ULLSWATER SHARROW BAY",,,,,,,,,,,,
Grid ref,NY459220,Long,-2.838719,Lat,54.590280,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.80,2.44,3.06,9.63,7.60,1.84,8.98,1.20,4.61,5.53,,
February,5.50,1.45,1.54,9.10,3.54,3.22,3.35,2.39,3.28,3.77,,
March,0.40,3.18,3.04,11.23,3.15,4.09,2.20,3.96,5.21,4.00,,
April,1.60,2.65,3.43,1.34,1.14,4.80,0.71,2.02,3.19,2.98,,
May,3.23,1.69,3.10,5.14,3.56,0.76,5.90,5.45,2.65,1.75,,
June,3.60,2.22,1.06,1.41,1.81,1.91,1.18,4.51,1.95,2.99,,
July,1.88,1.94,2.61,3.37,1.69,0.94,1.67,1.50,2.65,4.24,,
August,6.88,2.95,1.67,4.58,3.65,4.59,4.23,3.80,5.32,2.96,,
September,3.10,2.68,1.92,5.08,1.82,4.51,1.13,0.18,4.36,2.55,,
October,8.16,4.57,3.20,11.22,1.64,3.42,6.43,7.31,2.20,9.08,,
November,3.24,5.04,4.27,3.15,3.24,5.96,3.99,4.34,3.61,2.66,,
December,8.44,4.98,6.85,4.93,3.15,2.04,2.95,7.47,3.56,6.99,,
Total,50.83,35.79,35.75,70.18,35.99,38.08,42.72,44.13,42.59,49.50,,
Calc annual,50.83,35.79,35.75,70.18,35.99,38.08,42.72,44.13,42.59,49.50,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
