"LANESHAW RESERVOIR (COLNE)",,,,,,,,,,,,
Grid ref,SD944416,Long,-2.086649,Lat,53.870576,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.35,2.09,3.90,2.00,,
February,,,,,,,2.86,2.78,2.99,3.22,,
March,,,,,,,3.32,2.42,3.26,2.06,,
April,,,,,,,1.19,1.71,2.45,3.58,,
May,,,,,,,3.01,3.55,2.67,2.22,,
June,,,,,,,2.39,5.46,2.26,2.43,,
July,,,,,,,1.73,2.59,4.48,4.38,,
August,,,,,,,4.43,3.84,3.17,3.02,,
September,,,,,,,1.15,0.77,4.55,2.48,,
October,,,,,,,5.71,4.65,1.99,3.57,,
November,,,,,,,4.56,2.13,3.01,1.65,,
December,,,,,,,2.41,4.56,1.90,3.96,,
Total,,,,,,,38.11,36.55,36.63,34.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,38.11,36.55,36.63,34.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
