"SCOTS GAP WALLINGTON",,,,,,,,,,,,
Grid ref,NZ035841,Long,-1.946620,Lat,55.151228,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.64,2.05,1.53,4.01,1.59,0.70,2.76,1.02,2.33,2.34,,
February,5.32,2.43,1.20,3.01,2.96,0.93,1.16,1.87,1.72,2.54,,
March,1.93,3.02,2.07,2.44,1.93,2.41,1.67,1.61,5.05,5.48,,
April,0.84,1.19,1.53,1.70,2.19,3.06,1.08,2.63,2.19,3.91,,
May,1.78,3.35,2.48,2.30,2.53,1.85,4.44,3.92,3.43,2.30,,
June,4.50,1.71,2.29,1.98,1.99,2.27,2.14,4.81,0.59,2.54,,
July,1.61,2.64,3.21,5.26,2.23,0.65,0.85,1.07,4.29,3.53,,
August,5.06,2.28,2.35,2.74,2.79,4.10,6.63,2.79,2.89,3.25,,
September,1.14,1.26,1.10,3.04,1.11,2.19,1.04,0.37,3.63,2.05,,
October,6.14,2.63,2.31,8.52,0.96,3.03,6.54,5.77,3.37,3.97,,
November,4.80,5.29,1.98,1.54,4.24,5.96,4.10,2.48,2.06,0.72,,
December,3.04,3.23,5.39,3.51,2.33,1.16,2.91,3.81,2.06,4.00,,
Total,40.80,31.08,27.44,40.05,26.85,28.31,35.32,32.15,33.61,36.63,,
Calc annual,40.80,31.08,27.44,40.05,26.85,28.31,35.32,32.15,33.61,36.63,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
