"ESKDALE GREEN GATEHOUSE",,,,,,,,,,,,
Grid ref,NY143002,Long,-3.321281,Lat,54.390041,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.19,3.44,7.44,2.85,5.33,2.96,,
February,,,,,4.61,3.83,4.39,2.86,4.04,4.13,,
March,,,,,4.62,4.14,2.88,6.32,4.74,4.94,,
April,,,,,4.05,6.58,2.81,4.30,2.70,4.62,,
May,,,,,2.95,3.47,7.61,5.73,4.68,3.96,,
June,,,,,1.95,2.89,3.37,8.80,3.91,2.61,,
July,,,,,3.01,3.18,4.35,3.27,5.80,9.46,,
August,,,,,3.91,5.28,5.46,6.76,6.57,6.44,,
September,,,,,3.09,4.46,1.90,0.72,7.29,3.18,,
October,,,,,3.74,6.15,6.18,10.82,2.86,8.62,,
November,,,,,5.51,6.33,4.74,6.84,5.30,3.31,,
December,,,,,4.97,3.29,5.53,8.04,4.76,9.40,,
Total,,,,,48.60,53.04,56.66,67.31,57.98,63.63,,
Calc annual,0.00,0.00,0.00,0.00,48.60,53.04,56.66,67.31,57.98,63.63,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
